year,nzsioc,nzsioc_descriptor,variable,units,magnitude,source,data_value
2007,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,438.8
2007,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1009.69
2007,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,498.32
2007,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,72.39
2007,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.18
2007,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.18
2007,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,438799.13
2007,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1009687.66
2007,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,72390.93
2007,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,498322.05
2007,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,175.55
2007,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,175.55
2008,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,442.97
2008,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1043.37
2008,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,522.61
2008,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,77.61
2008,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.19
2008,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.19
2008,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,442965.34
2008,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1043374.56
2008,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,77611.9
2008,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,522607
2008,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,190.32
2008,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,190.32
2009,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,385.97
2009,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,868.4
2009,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,422.55
2009,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,59.7
